rule_id,rule_title,rule_source,framework,framework_name,edition,relation,fit,identifier,identifier_title
actbef,Anything wrong is fixed first,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-anything-wrong-fixed-first.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MANAGE 4.3,"Incidents and errors are communicated to relevant AI actors, including affected communities. Processes for tracking, responding to, and recovering from incidents and errors are followed and documented."
artbr1,Branch and merge only on green,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-branch-and-merge-on-green.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,A.7,Maintainability
artbr1,Branch and merge only on green,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-branch-and-merge-on-green.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,B.7,System life cycle issues
artbr1,Branch and merge only on green,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-branch-and-merge-on-green.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.1.3,Processes for responsible design and development of AI systems
artbr1,Branch and merge only on green,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-branch-and-merge-on-green.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,SA-10,Developer Configuration Management
artbr1,Branch and merge only on green,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-branch-and-merge-on-green.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,CM-3,Configuration Change Control
artbr1,Branch and merge only on green,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-branch-and-merge-on-green.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,CM-3(2),"Testing, Validation, and Documentation of Changes"
artbr1,Branch and merge only on green,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-branch-and-merge-on-green.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MANAGE 4.1,"Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI actors, appeal and override, decommissioning, incident response, recovery, and change management."
artbr1,Branch and merge only on green,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-branch-and-merge-on-green.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PS.1.1,Protect stored code with least privilege
artbr1,Branch and merge only on green,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-branch-and-merge-on-green.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PW.7.1,Decide on code review and analysis
chkfcl,A check fails closed on input it cannot read,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-check-fails-closed-on-unreadable.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,SI-17,Fail-safe Procedures
chkfcl,A check fails closed on input it cannot read,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-check-fails-closed-on-unreadable.md,owasp-cheatsheet,OWASP Cheat Sheet Series,commit f54d8ded2764010ecacd0deb87e1586da32d41dd (2026-07-04),aligns with guidance,broad,error-handling,Error Handling Cheat Sheet
cmtidn,Commit identity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-commit-identity.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,A.2,Accountability
cmtidn,Commit identity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-commit-identity.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.3.2,AI roles and responsibilities
cmtidn,Commit identity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-commit-identity.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,GOVERN 2.1,"Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented."
cmtidn,Commit identity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-commit-identity.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PS.1.1,Protect stored code with least privilege
gatdis,Gate discipline,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-gate-discipline.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.2.4,AI system verification and validation
gatdis,Gate discipline,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-gate-discipline.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,CM-3(2),"Testing, Validation, and Documentation of Changes"
gatdis,Gate discipline,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-gate-discipline.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,SA-11,Developer Testing and Evaluation
gatdis,Gate discipline,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-gate-discipline.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,GOVERN 4.1,Organizational policies and practices are in place to foster a critical thinking and safety-first mindset.
gatdis,Gate discipline,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-gate-discipline.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PO.4.1,Define software security check criteria
gatdis,Gate discipline,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-gate-discipline.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,tight,PW.8.2,Perform and document code testing
liccmp,Verify licence compatibility before introducing third-party material,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-licence-compatibility.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,GOVERN 1.1,"Legal and regulatory requirements involving AI are understood, managed, and documented."
nocncl,No concealed failure,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-no-concealed-failure.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,A.12,Transparency and explainability
nocncl,No concealed failure,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-no-concealed-failure.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,tight,6.7,Recording and reporting
nocncl,No concealed failure,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-no-concealed-failure.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.2.4,AI system verification and validation
nocncl,No concealed failure,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-no-concealed-failure.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,SA-11,Developer Testing and Evaluation
nocncl,No concealed failure,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-no-concealed-failure.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,tight,GOVERN 4.3,"Organizational practices are in place to enable AI testing, identification of incidents, and information sharing."
nocncl,No concealed failure,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-no-concealed-failure.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,tight,MANAGE 4.3,"Incidents and errors are communicated to relevant AI actors, including affected communities. Processes for tracking, responding to, and recovering from incidents and errors are followed and documented."
prtbrn,Protected-branch integrity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-protected-branch-integrity.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,A.7,Maintainability
prtbrn,Protected-branch integrity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-protected-branch-integrity.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,B.7,System life cycle issues
prtbrn,Protected-branch integrity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-protected-branch-integrity.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.1.3,Processes for responsible design and development of AI systems
prtbrn,Protected-branch integrity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-protected-branch-integrity.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,CM-3,Configuration Change Control
prtbrn,Protected-branch integrity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-protected-branch-integrity.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,CM-5,Access Restrictions for Change
prtbrn,Protected-branch integrity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-protected-branch-integrity.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MANAGE 4.1,"Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI actors, appeal and override, decommissioning, incident response, recovery, and change management."
prtbrn,Protected-branch integrity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-protected-branch-integrity.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PW.7.1,Decide on code review and analysis
prtbrn,Protected-branch integrity,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-protected-branch-integrity.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,tight,PS.1.1,Protect stored code with least privilege
rerunf,A rerun pass does not erase an earlier failure,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-rerun-pass-is-still-failure.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.2.4,AI system verification and validation
rerunf,A rerun pass does not erase an earlier failure,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-rerun-pass-is-still-failure.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,SI-2,Flaw Remediation
septsk,Separate task changes from pre-existing work,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-separate-task-changes.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,CM-3,Configuration Change Control
valgat,Validation is a gate on apply,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-validation-gates-apply.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.2.4,AI system verification and validation
valgat,Validation is a gate on apply,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-validation-gates-apply.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,SA-11,Developer Testing and Evaluation
valgat,Validation is a gate on apply,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-validation-gates-apply.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,CM-3(2),"Testing, Validation, and Documentation of Changes"
valgat,Validation is a gate on apply,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-validation-gates-apply.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MAP 4.2,"Internal risk controls for components of the AI system, including third-party AI technologies, are identified and documented."
valgat,Validation is a gate on apply,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-validation-gates-apply.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PW.7.1,Decide on code review and analysis
valgat,Validation is a gate on apply,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-validation-gates-apply.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PW.8.1,Decide on executable code testing
wowo01,Workers produce inert data,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-workers-produce-inert-data.md,atlas,MITRE ATLAS,2026.06,mitigates technique,broad,AML.T0053,AI Agent Tool Invocation
wowo01,Workers produce inert data,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-workers-produce-inert-data.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,A.2,Accountability
wowo01,Workers produce inert data,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-workers-produce-inert-data.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,B.4,Level of automation
wowo01,Workers produce inert data,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-workers-produce-inert-data.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.1.3,Processes for responsible design and development of AI systems
wowo01,Workers produce inert data,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-workers-produce-inert-data.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,AC-6,Least Privilege
wowo01,Workers produce inert data,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-workers-produce-inert-data.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,CM-5,Access Restrictions for Change
wowo01,Workers produce inert data,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-workers-produce-inert-data.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MAP 4.2,"Internal risk controls for components of the AI system, including third-party AI technologies, are identified and documented."
wowo01,Workers produce inert data,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-workers-produce-inert-data.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PW.7.2,Perform code review and analysis
wowo01,Workers produce inert data,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-workers-produce-inert-data.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,tight,PS.1.1,Protect stored code with least privilege
chgchk,A behavioural change carries a check that fails without it,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-change-carries-check.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.2.4,AI system verification and validation
chgchk,A behavioural change carries a check that fails without it,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-change-carries-check.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,CM-3(2),"Testing, Validation, and Documentation of Changes"
chgchk,A behavioural change carries a check that fails without it,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-change-carries-check.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,SA-11,Developer Testing and Evaluation
chgchk,A behavioural change carries a check that fails without it,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-change-carries-check.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PW.8.2,Perform and document code testing
fndfix,"A verification finding is fixed, not argued away",https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-findings-are-fixed-not-argued.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.2.4,AI system verification and validation
fndfix,"A verification finding is fixed, not argued away",https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-findings-are-fixed-not-argued.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,SA-11,Developer Testing and Evaluation
fndfix,"A verification finding is fixed, not argued away",https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-findings-are-fixed-not-argued.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,SI-2,Flaw Remediation
fndfix,"A verification finding is fixed, not argued away",https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-findings-are-fixed-not-argued.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,GOVERN 4.1,Organizational policies and practices are in place to foster a critical thinking and safety-first mindset.
fndfix,"A verification finding is fixed, not argued away",https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-findings-are-fixed-not-argued.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MANAGE 2.3,Procedures are followed to respond to and recover from a previously unknown risk when it is identified.
fndfix,"A verification finding is fixed, not argued away",https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-findings-are-fixed-not-argued.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PO.4.1,Define software security check criteria
fndfix,"A verification finding is fixed, not argued away",https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-findings-are-fixed-not-argued.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PW.7.2,Perform code review and analysis
hiasrv,High-assurance verification,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-high-assurance-verification.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.2.4,AI system verification and validation
hiasrv,High-assurance verification,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-high-assurance-verification.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,CM-3(2),"Testing, Validation, and Documentation of Changes"
hiasrv,High-assurance verification,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-high-assurance-verification.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,SA-11(3),Independent Verification of Assessment Plans and Evidence
hiasrv,High-assurance verification,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-high-assurance-verification.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,tight,MEASURE 1.3,Internal experts who did not serve as front-line developers for the system and/or independent assessors are involved in regular assessments and updates.
hiasrv,High-assurance verification,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-high-assurance-verification.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PW.2.1,Review software design against security requirements
hiasrv,High-assurance verification,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-high-assurance-verification.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PW.7.2,Perform code review and analysis
lvw001,Isolate verifiers and judge by their result signal,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-lightweight-verifier-workers.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,broad,A.6.2.4,AI system verification and validation
lvw001,Isolate verifiers and judge by their result signal,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-lightweight-verifier-workers.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,SA-11(3),Independent Verification of Assessment Plans and Evidence
lvw001,Isolate verifiers and judge by their result signal,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-lightweight-verifier-workers.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MEASURE 1.3,Internal experts who did not serve as front-line developers for the system and/or independent assessors are involved in regular assessments and updates.
lvw001,Isolate verifiers and judge by their result signal,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-lightweight-verifier-workers.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MEASURE 2.13,Effectiveness of the employed TEVV metrics and processes in the MEASURE function are evaluated and documented.
mtchcd,Match the surrounding code,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-match-surrounding-code.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,A.7,Maintainability
mtchcd,Match the surrounding code,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-QUALI-match-surrounding-code.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,PW.5.1,Follow secure coding practices
